AIMSaircraftregistration;AIMSflighthours;AIMSflightcycles;AIMSdelays;AIMSdelayedminutes;AIMScancellations;date;AMOS_scheduledOutOfService;AMOS_unscheduledOutOfService
XY-IWX;0;1;0;0;1;18-07-2016;0;22
XY-OZH;0;0;0;0;1;27-08-2010;0;11
XY-OZH;0;0;0;0;2;27-08-2011;48;0
XY-OZH;2;1;1;26;1;27-08-2012;0;962
XY-OZH;2;1;1;34;0;27-08-2015;0;558
XY-IWX;0;0;0;0;2;31-05-2014;241;0
XY-ZMF;1;1;1;32;1;20-05-2016;38;0
XY-ZMF;1;1;1;46;1;20-05-2015;48;0
XY-ZMF;0;1;1;31;1;20-05-2014;0;1
XY-ZMF;0;0;0;0;1;20-05-2013;697;0
XY-ZMF;0;0;0;0;2;20-05-2011;0;22
XY-ZMF;0;0;0;0;1;20-05-2010;93;0
XY-IWX;0;0;0;0;2;31-05-2011;48;0
XY-ZWJ;3;1;1;9;0;30-03-2016;24;0
XY-ZWJ;0;0;0;0;1;30-03-2015;0;0
XY-ZWJ;0;1;0;0;0;30-03-2014;0;0
XY-NHZ;1;1;1;10;0;01-10-2012;0;308
XY-ZDY;3;1;0;0;1;06-07-2010;0;4093
XY-ZDY;3;2;0;0;0;06-07-2011;3;0
XY-ZDY;0;0;0;0;1;06-07-2012;0;0
XY-MBJ;0;1;1;39;0;25-05-2010;201;0
XY-MBJ;3;1;1;31;0;25-05-2016;0;11
XY-MBJ;1;1;1;47;1;25-05-2015;0;2413
XY-OFW;0;0;0;0;1;11-02-2014;0;329
XY-OFW;2;2;1;49;1;11-02-2015;72;0
XY-OFW;1;1;1;43;0;11-02-2012;42;0
XY-OFW;0;1;1;39;0;11-02-2010;674;0
XY-OFW;1;1;1;12;0;11-02-2011;0;11
XY-ZDY;0;0;0;0;1;06-07-2016;0;0
XY-LYP;2;1;1;11;0;22-11-2015;9;0
XY-JXR;1;1;1;41;1;26-05-2015;0;22
XY-JXR;2;1;1;8;0;26-05-2016;0;11
XY-JXR;3;2;1;45;0;26-05-2013;21;0
XY-JXR;1;1;1;33;1;26-05-2014;13;0
XY-IWX;0;0;0;0;1;29-03-2015;0;11
XY-LYP;0;0;0;0;2;22-11-2012;0;22
XY-LYP;0;0;0;0;1;22-11-2013;24;0
XY-LYP;2;1;1;13;0;22-11-2014;0;774
XY-IWX;0;0;0;0;1;29-03-2010;0;11
XY-IWX;3;1;1;21;0;29-03-2012;0;0
XY-JXR;0;0;0;0;2;26-05-2011;0;153
XY-JXR;4;2;2;44;0;26-05-2012;0;1
XY-JXR;2;1;1;39;0;26-05-2010;0;11
XY-NMY;0;0;0;0;1;09-05-2012;0;0
XY-MBJ;0;0;0;0;2;21-11-2014;0;22
XY-NMY;0;0;0;0;1;09-05-2010;0;11
XY-MBJ;3;1;1;36;0;21-11-2016;24;0
XY-IOO;0;0;0;0;1;27-02-2010;154;0
XY-IOO;0;0;0;0;1;27-02-2011;0;1920
XY-IOO;3;2;2;46;0;27-02-2012;0;1
XY-YAZ;2;1;1;15;0;07-03-2015;89;0
XY-IOO;1;1;1;8;1;27-02-2014;44;0
XY-IOO;2;1;1;25;0;27-02-2016;491;0
XY-YAZ;1;2;1;18;1;07-03-2016;0;32
XY-NMY;0;0;0;0;1;09-05-2016;309;0
XY-MBJ;0;0;0;0;2;21-11-2010;48;0
XY-NMY;1;1;1;33;0;09-05-2014;3;0
XY-MBJ;0;0;0;0;1;21-11-2012;24;0
XY-YAZ;0;0;0;0;1;07-03-2011;0;11
XY-YAZ;0;0;0;0;1;07-03-2012;0;11
XY-CMJ;1;1;1;24;0;30-11-2012;0;1003
XY-CMJ;0;0;0;0;1;30-11-2011;120;0
XY-CMJ;4;1;1;27;0;30-11-2014;0;566
XY-CMJ;0;0;0;0;1;30-11-2015;0;0
XY-CMJ;0;0;0;0;1;30-11-2010;0;828
XY-LQZ;4;1;1;28;0;18-01-2014;0;1376
XY-LQZ;6;2;2;64;0;18-01-2012;0;22
XY-LQZ;0;0;0;0;1;18-01-2010;0;0
XY-OHF;0;0;0;0;2;12-09-2011;48;0
XY-YTM;0;0;0;0;1;12-01-2010;74;0
XY-YTM;0;1;1;34;1;12-01-2011;226;0
XY-OHF;3;2;2;47;0;12-09-2013;48;0
XY-OHF;0;1;1;10;0;12-09-2014;73;0
XY-YTM;0;0;0;0;2;12-01-2014;1359;0
XY-OHF;0;0;0;0;1;12-09-2015;434;0
XY-YTM;0;0;0;0;1;12-01-2015;0;2106
XY-OHF;0;0;0;0;1;12-09-2016;0;11
XY-FBA;2;1;1;35;1;28-11-2013;757;0
XY-FBA;0;0;0;0;1;28-11-2014;0;0
XY-LQZ;1;1;1;20;0;27-10-2016;24;0
XY-LQZ;2;1;0;0;0;27-10-2015;0;11
XY-FBA;0;1;1;9;0;28-11-2010;11;0
XY-FBA;0;0;0;0;1;28-11-2015;253;0
XY-FBA;0;0;0;0;1;28-11-2016;231;0
XY-ZDY;0;0;0;0;2;16-02-2011;0;22
XY-LQZ;0;0;0;0;1;18-01-2016;558;0
XY-YAZ;3;1;1;38;0;20-01-2010;0;1974
XY-ZDY;0;0;0;0;1;16-02-2010;0;11
XY-LQZ;0;1;1;32;0;18-01-2015;0;886
XY-YAZ;2;1;1;25;2;20-01-2015;0;32
XY-YAZ;0;0;0;0;1;20-01-2014;0;0
XY-YAZ;2;1;1;45;1;20-01-2013;0;1
XY-ZDY;0;0;0;0;1;16-02-2012;0;71
XY-ZDY;1;1;1;45;0;16-02-2015;0;877
XY-ZDY;0;1;1;17;0;16-02-2014;0;337
XY-ZDY;0;0;0;0;2;16-02-2016;48;0
XY-MBJ;1;1;1;28;1;25-12-2016;0;836
XY-MBJ;1;1;1;39;1;25-12-2015;8;0
XY-MBJ;1;1;1;42;0;25-12-2014;0;1450
XY-MBJ;6;2;1;23;0;25-12-2013;35;0
XY-MBJ;2;1;1;17;0;25-12-2012;98;0
XY-MBJ;0;0;0;0;1;25-12-2011;0;0
XY-NHZ;0;0;0;0;1;10-12-2016;0;0
XY-NHZ;1;1;1;49;0;10-12-2015;0;1996
XY-NHZ;3;1;1;11;0;10-12-2014;0;884
XY-NHZ;2;1;0;0;0;10-12-2012;24;0
XY-JXR;0;0;0;0;2;26-11-2016;0;22
XY-JXR;0;0;0;0;1;26-11-2013;0;11
XY-JXR;0;0;0;0;1;26-11-2015;551;0
XY-ALV;0;0;0;0;2;23-10-2013;0;22
XY-JXR;0;0;0;0;2;26-11-2014;0;4013
XY-ALV;1;1;1;35;1;23-10-2012;48;0
XY-ALV;0;0;0;0;1;23-10-2011;0;0
XY-JXR;2;1;1;49;2;26-11-2011;0;32
XY-JXR;0;0;0;0;1;26-11-2010;0;0
XY-CMJ;0;0;0;0;1;05-04-2016;0;0
XY-CMJ;0;1;1;17;3;05-04-2015;0;43
XY-CMJ;0;0;0;0;2;05-04-2010;0;1128
XY-JXR;2;1;1;33;0;17-09-2016;565;0
XY-LQZ;2;1;1;15;2;27-10-2011;0;1
XY-LQZ;0;1;0;0;0;27-10-2014;0;1897
XY-LQZ;1;1;0;0;0;27-10-2013;0;11
XY-CMJ;3;1;1;43;0;05-04-2014;0;220
XY-LQZ;0;0;0;0;2;27-10-2010;546;0
XY-CMJ;0;0;0;0;1;05-04-2011;190;0
XY-JXR;1;1;1;44;1;17-09-2010;1381;0
XY-JXR;0;0;0;0;1;17-09-2011;0;464
XY-JXR;1;1;1;10;1;17-09-2014;0;1
XY-FBA;0;1;1;11;0;17-08-2010;0;792
XY-OFW;0;1;1;15;0;29-06-2014;430;0
XY-OFW;0;1;1;40;0;29-06-2011;24;0
XY-OFW;0;0;0;0;2;29-06-2012;0;22
XY-FBA;1;2;2;91;0;17-08-2013;0;1599
XY-OFW;0;0;0;0;2;29-06-2010;0;1
XY-FBA;0;0;0;0;1;17-08-2012;29;0
XY-FBA;0;1;1;18;1;17-08-2015;0;73
XY-CMJ;0;0;0;0;2;03-10-2010;0;1
XY-CMJ;5;2;2;59;0;03-10-2013;0;1
XY-CMJ;0;0;0;0;1;03-10-2012;0;0
XY-CMJ;3;2;2;32;0;03-10-2015;403;0
XY-CMJ;3;1;1;30;0;03-10-2014;24;0
XY-OFW;1;1;1;23;1;29-06-2015;0;1
XY-ZDY;0;0;0;0;1;04-07-2016;356;0
XY-ALV;0;0;0;0;1;14-01-2011;0;2050
XY-ALV;0;0;0;0;1;14-01-2012;685;0
XY-ZDY;1;1;0;0;1;04-07-2013;0;2321
XY-ALV;0;0;0;0;1;14-01-2013;14;0
XY-ZDY;3;1;1;40;1;04-07-2012;0;4178
XY-ZDY;1;1;0;0;2;04-07-2011;0;1
XY-ALV;2;1;1;20;1;14-01-2015;4;0
XY-ZDY;3;1;1;8;0;04-07-2010;279;0
XY-ALV;3;1;1;19;1;14-01-2016;491;0
XY-OHF;0;0;0;0;1;21-11-2015;0;11
XY-OHF;1;1;1;20;1;21-11-2014;597;0
XY-YTM;0;0;0;0;1;08-12-2016;0;11
XY-YTM;0;0;0;0;1;08-12-2015;24;0
XY-OHF;5;2;1;8;0;21-11-2016;1333;0
XY-YTM;0;0;0;0;1;08-12-2013;559;0
XY-YTM;0;0;0;0;2;08-12-2012;39;0
XY-YTM;2;1;1;46;0;08-12-2011;0;0
XY-LQZ;0;0;0;0;1;06-06-2013;0;478
XY-OFW;0;0;0;0;1;31-08-2016;451;0
XY-OFW;3;1;1;14;0;31-08-2014;0;864
XY-LQZ;0;0;0;0;1;06-06-2011;0;0
XY-OFW;0;1;1;34;0;31-08-2012;0;11
XY-OFW;0;0;0;0;1;31-08-2010;24;0
XY-CMJ;3;1;1;39;0;07-04-2010;0;11
XY-ALV;0;0;0;0;1;15-08-2013;0;411
XY-CMJ;0;0;0;0;1;07-04-2012;0;11
XY-ALV;0;0;0;0;3;15-08-2011;0;32
XY-ALV;1;2;2;71;1;15-08-2010;72;0
XY-ZWJ;2;1;1;49;1;21-07-2010;787;0
XY-NHZ;0;1;1;17;2;01-03-2010;308;0
XY-IWX;1;1;0;0;0;22-09-2013;12;0
XY-NHZ;0;0;0;0;1;01-03-2013;0;0
XY-IWX;0;0;0;0;1;22-09-2012;0;0
XY-NHZ;0;0;0;0;1;01-03-2012;0;1713
XY-IWX;3;1;1;8;0;22-09-2011;8;0
XY-NHZ;1;1;0;0;0;01-03-2015;24;0
XY-CMJ;0;0;0;0;1;07-04-2013;0;75
XY-CMJ;0;1;1;18;0;07-04-2014;12;0
XY-FBA;1;1;1;7;0;13-01-2012;24;0
XY-IWX;0;1;0;0;0;22-09-2016;8;0
XY-CMJ;0;0;0;0;1;07-04-2016;197;0
XY-FBA;0;0;0;0;1;13-01-2013;0;0
XY-IWX;0;0;0;0;1;22-09-2015;0;710
XY-FBA;0;0;0;0;2;13-01-2010;48;0
XY-FBA;0;0;0;0;1;13-01-2011;285;0
XY-ZWJ;0;0;0;0;1;21-07-2014;0;0
XY-ZWJ;1;1;1;42;0;21-07-2013;7;0
XY-ZWJ;0;0;0;0;1;21-07-2016;0;1093
XY-ZWJ;2;1;1;28;0;21-07-2015;663;0
XY-PZC;0;0;0;0;1;09-11-2010;0;1134
XY-YTM;0;0;0;0;1;22-03-2011;0;0
XY-PZC;0;0;0;0;1;09-11-2011;43;0
XY-YTM;4;2;2;57;2;22-03-2012;0;43
XY-YTM;3;1;1;41;2;22-03-2010;0;1
XY-ZDY;2;1;0;0;0;28-05-2011;0;11
XY-MBJ;0;0;0;0;1;23-05-2016;327;0
XY-MBJ;0;0;0;0;2;23-05-2013;0;2670
XY-YTM;2;1;1;21;0;22-03-2015;0;459
XY-MBJ;2;2;2;43;0;23-05-2012;0;1
XY-OHF;4;2;2;45;0;11-02-2015;0;22
XY-YTM;0;0;0;0;1;22-03-2013;396;0
XY-OHF;3;1;1;32;0;11-02-2016;0;452
XY-MBJ;0;0;0;0;1;23-05-2010;632;0
XY-IWX;5;2;2;31;0;28-02-2010;0;1
XY-IWX;0;0;0;0;1;28-02-2011;0;20
XY-IWX;1;1;1;20;0;28-02-2013;463;0
XY-OFW;0;0;0;0;1;13-02-2015;13;0
XY-OFW;2;1;1;49;1;13-02-2013;46;0
XY-OFW;0;0;0;0;1;13-02-2010;0;11
XY-LYP;1;1;1;29;0;22-05-2012;0;11
XY-IWX;0;0;0;0;1;28-02-2015;37;0
XY-LYP;0;0;0;0;1;22-05-2015;312;0
XY-LYP;4;1;1;43;0;22-05-2014;495;0
XY-YAZ;6;2;1;33;0;07-10-2010;0;22
XY-YAZ;0;0;0;0;1;07-10-2011;0;0
XY-YAZ;0;0;0;0;1;07-10-2012;0;0
XY-YAZ;0;0;0;0;1;07-10-2014;0;0
XY-YAZ;0;1;1;34;0;07-10-2015;190;0
XY-YAZ;1;1;1;44;0;07-10-2016;184;0
XY-PZC;0;0;0;0;1;26-04-2010;0;11
XY-PZC;0;0;0;0;1;26-04-2011;13;0
XY-PZC;0;0;0;0;1;26-04-2012;21;0
XY-PZC;0;0;0;0;1;26-04-2013;22;0
XY-PZC;0;1;1;27;0;26-04-2014;0;1521
XY-PZC;0;0;0;0;2;26-04-2016;48;0
XY-OHF;0;0;0;0;1;11-02-2014;77;0
XY-OHF;0;0;0;0;1;11-02-2010;325;0
XY-YAZ;3;1;1;31;1;11-05-2010;0;22
XY-YAZ;0;0;0;0;1;11-05-2012;24;0
XY-YAZ;0;0;0;0;1;11-05-2011;0;11
XY-YAZ;0;0;0;0;2;11-05-2016;1206;0
XY-YAZ;0;0;0;0;1;11-05-2015;0;0
XY-ALV;0;0;0;0;2;15-08-2016;48;0
XY-IOO;2;1;1;23;0;03-03-2010;10;0
XY-IOO;2;1;0;0;0;03-03-2012;0;0
XY-IOO;0;0;0;0;1;03-03-2013;0;11
XY-IOO;0;0;0;0;1;03-03-2014;0;11
XY-OHF;0;0;0;0;2;23-12-2015;0;22
XY-IOO;0;0;0;0;1;03-03-2015;0;0
XY-OHF;0;0;0;0;1;23-12-2014;0;11
XY-OHF;0;0;0;0;1;23-12-2013;0;453
XY-ZWJ;0;1;0;0;0;18-05-2010;7;0
XY-ALV;2;1;1;46;1;12-01-2016;0;1728
XY-ALV;1;1;1;31;0;12-01-2014;24;0
XY-ALV;0;0;0;0;1;12-01-2013;15;0
XY-ALV;0;0;0;0;1;12-01-2011;65;0
XY-OZH;1;1;1;49;0;13-11-2011;0;1659
XY-OZH;0;0;0;0;2;13-11-2014;0;1
XY-OZH;0;1;1;31;0;13-11-2013;15;0
XY-OZH;0;0;0;0;1;13-11-2016;0;0
XY-YTM;1;1;1;29;1;13-08-2016;15;0
XY-OZH;0;0;0;0;1;04-09-2014;0;0
XY-ALV;0;0;0;0;2;12-01-2010;0;3260
XY-OZH;4;2;1;22;0;04-09-2016;0;22
XY-YTM;0;0;0;0;1;13-08-2011;56;0
XY-OZH;3;2;2;17;1;04-09-2010;6;0
XY-YTM;0;0;0;0;1;13-08-2013;442;0
XY-OZH;0;0;0;0;1;04-09-2012;316;0
XY-YTM;0;0;0;0;1;13-08-2015;0;11
XY-OFW;0;0;0;0;1;04-07-2013;17;0
XY-OFW;4;2;2;38;1;04-07-2011;0;1
XY-OFW;0;0;0;0;1;04-07-2012;0;0
XY-OHF;0;0;0;0;2;14-09-2011;0;2025
XY-OFW;0;1;1;31;1;04-07-2016;0;1
XY-OHF;0;0;0;0;1;14-09-2013;0;11
XY-OHF;0;0;0;0;1;23-12-2012;0;11
XY-OHF;2;1;1;31;1;14-09-2010;0;22
XY-ZWJ;3;1;1;27;0;05-08-2010;630;0
XY-ZWJ;2;1;1;28;0;05-08-2012;24;0
XY-ZWJ;2;1;1;30;0;05-08-2015;7;0
XY-OHF;3;1;1;32;0;27-06-2014;78;0
XY-NHZ;0;0;0;0;1;26-03-2013;0;347
XY-NHZ;0;1;1;41;0;26-03-2014;0;0
XY-NHZ;0;0;0;0;1;26-03-2011;0;29
XY-FBA;0;0;0;0;1;28-04-2015;706;0
XY-FBA;3;1;1;10;1;28-04-2016;0;1
XY-NHZ;3;2;1;22;0;26-03-2016;0;1
XY-FBA;0;0;0;0;2;28-04-2011;0;1
XY-FBA;0;0;0;0;1;28-04-2013;0;1568
XY-ZWJ;2;1;0;0;1;02-01-2012;0;22
XY-ZWJ;0;0;0;0;1;02-01-2015;13;0
XY-ZWJ;0;0;0;0;1;02-01-2014;6;0
XY-FBA;0;0;0;0;2;28-04-2010;0;1
XY-ZWJ;0;0;0;0;1;02-01-2017;0;11
XY-ZWJ;1;1;1;40;0;02-01-2016;24;0
XY-LYP;0;0;0;0;2;09-07-2015;48;0
XY-LYP;0;0;0;0;1;09-07-2014;24;0
XY-LYP;2;1;1;25;1;09-07-2013;0;2884
XY-LYP;3;1;1;21;0;09-07-2012;643;0
XY-LYP;0;0;0;0;1;09-07-2011;0;2051
XY-ZWJ;2;2;2;44;2;02-01-2010;0;817
XY-ZDY;0;1;1;21;0;27-11-2010;0;11
XY-ZDY;0;0;0;0;2;27-11-2011;0;1
XY-ZDY;0;0;0;0;2;27-11-2013;0;1
XY-NHZ;0;0;0;0;1;09-10-2010;0;2062
XY-NHZ;0;0;0;0;1;09-10-2011;0;11
XY-NHZ;1;1;0;0;0;09-10-2012;293;0
XY-NHZ;0;1;1;43;0;09-10-2013;0;140
XY-OHF;1;1;1;29;0;27-06-2012;0;0
XY-NHZ;0;1;1;35;0;09-10-2014;0;448
XY-NHZ;3;1;1;45;0;09-10-2015;0;11
XY-NHZ;0;0;0;0;2;09-10-2016;796;0
XY-LQZ;0;0;0;0;1;03-11-2016;670;0
XY-LQZ;0;1;1;47;0;03-11-2014;0;0
XY-LQZ;1;1;1;22;0;03-11-2012;22;0
XY-LQZ;3;1;1;24;0;03-11-2013;403;0
XY-LQZ;0;0;0;0;1;03-11-2010;24;0
XY-NHZ;2;1;1;8;0;12-12-2011;0;1976
XY-NHZ;2;1;1;8;0;12-12-2012;708;0
XY-NHZ;1;1;0;0;0;12-12-2013;0;1930
XY-MBJ;1;1;1;24;0;11-02-2011;3;0
XY-MBJ;1;1;1;8;0;11-02-2014;0;0
XY-MBJ;0;0;0;0;3;11-02-2010;0;32
XY-NMY;0;0;0;0;1;30-11-2010;0;11
XY-CMJ;2;1;1;47;0;19-07-2015;0;11
XY-CMJ;0;0;0;0;1;19-07-2011;52;0
XY-ZWJ;2;1;1;47;0;05-02-2015;0;11
XY-CMJ;0;0;0;0;1;19-07-2012;0;11
XY-ZWJ;0;0;0;0;2;05-02-2016;1101;0
XY-CMJ;0;0;0;0;1;19-07-2014;0;11
XY-ZWJ;2;1;1;25;0;05-02-2011;0;1408
XY-NMY;2;1;1;30;0;30-11-2016;289;0
XY-ZWJ;0;0;0;0;1;05-02-2012;0;11
XY-ZWJ;4;2;1;26;0;05-02-2013;319;0
XY-CMJ;9;4;4;110;0;19-07-2010;0;7832
XY-CMJ;0;0;0;0;1;20-02-2016;24;0
XY-CMJ;3;1;1;42;0;20-02-2014;0;11
XY-CMJ;2;1;1;36;0;20-02-2015;0;1716
XY-CMJ;0;0;0;0;1;20-02-2010;215;0
XY-CMJ;1;1;1;8;1;20-02-2011;0;3640
XY-YTM;0;0;0;0;2;08-11-2012;716;0
XY-YTM;2;1;1;16;1;08-11-2010;0;22
XY-YTM;0;0;0;0;1;08-11-2016;0;2056
XY-YTM;4;1;1;44;0;08-11-2014;12;0
XY-YTM;0;0;0;0;1;08-11-2015;0;11
XY-PZC;3;1;1;13;1;23-03-2014;48;0
XY-PZC;3;1;1;48;0;23-03-2011;0;1059
XY-PZC;0;0;0;0;1;23-03-2012;0;0
XY-YAZ;0;0;0;0;1;23-08-2011;17;0
XY-YAZ;0;0;0;0;1;23-08-2010;24;0
XY-YAZ;1;2;2;65;0;23-08-2015;48;0
XY-YAZ;2;1;1;27;0;23-08-2013;0;0
XY-YAZ;3;1;1;11;0;23-08-2014;126;0
XY-PZC;4;1;1;48;0;23-03-2010;0;1942
XY-YTM;0;0;0;0;1;22-10-2014;0;1890
XY-YTM;0;0;0;0;2;22-10-2013;0;1
XY-OFW;4;2;1;49;0;25-12-2015;0;1
XY-OFW;3;1;1;44;0;25-12-2016;0;11
XY-YTM;0;0;0;0;1;22-10-2015;178;0
XY-IOO;2;2;2;47;0;05-09-2015;0;22
XY-IOO;0;1;1;8;1;05-09-2016;593;0
XY-IOO;1;2;1;22;0;05-09-2013;0;22
XY-OHF;0;0;0;0;2;12-03-2016;0;1
XY-IOO;0;0;0;0;1;05-09-2014;24;0
XY-OHF;2;1;1;42;0;12-03-2015;0;698
XY-YTM;2;1;1;38;0;22-10-2011;0;0
XY-LQZ;5;3;2;43;0;21-04-2011;72;0
XY-LQZ;0;0;0;0;1;21-04-2012;14;0
XY-LQZ;3;1;1;25;1;21-04-2013;0;2275
XY-LQZ;2;2;1;14;1;21-04-2014;72;0
XY-LQZ;0;0;0;0;2;21-04-2015;37;0
XY-OFW;0;2;2;50;0;25-12-2010;15;0
XY-ALV;0;0;0;0;2;14-07-2015;0;1
XY-OFW;2;1;0;0;0;25-12-2012;2;0
XY-OFW;0;0;0;0;1;25-12-2013;0;0
XY-IWX;2;1;1;26;0;15-12-2012;0;11
XY-ALV;2;1;1;11;1;14-07-2014;0;22
XY-IWX;1;1;1;34;0;15-12-2013;24;0
XY-ALV;0;0;0;0;1;14-07-2013;24;0
XY-IWX;2;2;2;90;0;15-12-2014;18;0
XY-IWX;1;1;1;36;0;15-12-2010;0;1146
XY-IWX;2;1;1;9;0;15-12-2015;0;11
XY-IOO;2;1;1;10;1;05-09-2011;0;1
XY-IOO;0;0;0;0;1;05-09-2012;0;0
XY-OHF;0;0;0;0;1;12-03-2013;24;0
XY-JXR;0;0;0;0;2;26-12-2012;37;0
XY-NMY;2;1;1;16;0;10-07-2010;0;452
XY-NMY;3;1;1;37;1;10-07-2011;0;1
XY-OHF;2;1;1;34;1;12-03-2011;117;0
XY-JXR;0;1;1;29;1;26-12-2010;0;22
XY-NMY;0;0;0;0;1;10-07-2016;227;0
XY-JXR;1;1;1;12;0;26-12-2016;0;20
XY-NMY;0;1;1;22;0;10-07-2014;0;28
XY-JXR;2;1;1;31;0;26-12-2013;0;1001
XY-NMY;2;1;1;30;1;10-07-2015;0;22
XY-JXR;0;0;0;0;2;26-12-2014;0;22
XY-ZMF;1;1;1;38;1;16-03-2016;0;1855
XY-ZMF;3;1;1;40;0;16-03-2014;0;11
XY-NHZ;0;1;1;35;0;14-06-2013;0;0
XY-ZMF;3;1;1;37;0;16-03-2011;0;1622
XY-NHZ;4;2;1;23;2;14-06-2014;0;2
XY-ZMF;0;0;0;0;1;16-03-2012;0;912
XY-NHZ;0;0;0;0;1;14-06-2011;0;11
XY-NHZ;0;0;0;0;1;14-06-2012;0;0
XY-NHZ;0;0;0;0;1;14-06-2010;18;0
XY-ALV;0;1;1;39;1;27-04-2014;0;1
XY-ALV;0;1;1;28;0;27-04-2015;24;0
XY-PZC;1;2;2;77;1;01-05-2013;341;0
XY-PZC;0;0;0;0;2;01-05-2014;0;1
XY-ALV;2;1;1;27;0;27-04-2013;0;892
XY-PZC;0;0;0;0;1;01-05-2015;0;451
XY-OZH;0;1;1;45;0;26-07-2013;3;0
XY-OZH;0;0;0;0;1;26-07-2011;544;0
XY-LYP;0;0;0;0;1;22-04-2014;0;0
XY-LYP;0;0;0;0;1;22-04-2013;353;0
XY-NHZ;0;0;0;0;1;01-04-2016;24;0
XY-NHZ;0;0;0;0;1;01-04-2013;0;11
XY-NHZ;0;0;0;0;2;01-04-2014;20;0
XY-NHZ;0;0;0;0;1;01-04-2011;0;277
XY-LYP;0;0;0;0;1;22-04-2010;0;11
XY-NHZ;0;0;0;0;1;01-04-2012;0;2008
XY-LYP;3;1;0;0;0;22-04-2016;0;2073
XY-LYP;3;1;1;39;1;22-04-2015;0;1
XY-MBJ;0;0;0;0;1;23-12-2012;426;0
XY-NMY;0;0;0;0;1;03-10-2014;346;0
XY-MBJ;0;0;0;0;1;23-12-2010;18;0
XY-IOO;0;0;0;0;2;18-06-2016;0;829
XY-IOO;0;1;1;43;1;18-06-2014;0;22
XY-IOO;1;2;2;25;0;18-06-2015;273;0
XY-IOO;0;1;1;27;0;18-06-2013;0;1516
XY-NMY;0;0;0;0;1;03-10-2012;0;0
XY-IOO;1;1;1;8;0;18-06-2010;24;0
XY-MBJ;0;1;1;38;0;23-12-2015;24;0
XY-NMY;0;0;0;0;1;03-10-2013;57;0
XY-MBJ;3;1;1;18;0;23-12-2016;0;1623
XY-NMY;1;1;1;37;1;03-10-2010;0;22
XY-MBJ;0;0;0;0;1;23-12-2013;504;0
XY-NMY;0;0;0;0;1;03-10-2011;0;11
XY-NMY;1;1;1;26;1;05-11-2012;696;0
XY-LQZ;2;1;1;7;2;18-02-2012;0;4366
XY-NMY;1;1;1;39;1;05-11-2011;0;1
XY-LQZ;4;2;2;41;0;18-02-2014;0;1
XY-YAZ;1;1;1;14;0;12-06-2016;0;0
XY-LQZ;4;2;2;87;0;18-02-2015;671;0
XY-NMY;0;0;0;0;1;05-11-2016;707;0
XY-NMY;0;0;0;0;1;05-11-2015;24;0
XY-YAZ;0;0;0;0;1;12-06-2011;0;11
XY-NMY;0;0;0;0;1;05-11-2013;0;11
XY-YAZ;0;1;1;32;0;12-06-2012;0;11
XY-JXR;0;0;0;0;2;29-06-2015;0;22
XY-JXR;0;1;1;20;0;29-06-2016;0;11
XY-JXR;0;0;0;0;1;29-06-2011;0;0
XY-LQZ;0;0;0;0;1;18-02-2016;0;0
XY-ZWJ;0;1;1;13;1;16-11-2011;562;0
XY-ZWJ;0;1;1;11;0;16-11-2010;0;1157
XY-ZWJ;0;0;0;0;1;16-11-2014;0;11
XY-ZWJ;0;0;0;0;1;16-11-2013;0;11
XY-ZWJ;0;0;0;0;1;16-11-2012;0;0
XY-LQZ;3;1;1;21;0;05-05-2010;24;0
XY-PZC;0;0;0;0;1;23-10-2015;24;0
XY-PZC;3;2;1;15;0;23-10-2013;44;0
XY-PZC;1;1;1;7;0;23-10-2014;0;0
XY-PZC;0;0;0;0;1;23-10-2011;2;0
XY-PZC;1;1;1;18;0;23-10-2012;0;11
XY-LQZ;2;1;1;19;1;05-05-2014;0;1
XY-PZC;4;1;1;29;0;23-10-2010;24;0
XY-LQZ;1;1;1;19;2;05-05-2015;0;1
XY-LYP;1;1;1;25;0;08-06-2016;24;0
XY-LYP;0;0;0;0;1;08-06-2013;0;587
XY-MBJ;0;0;0;0;1;10-02-2011;131;0
XY-LYP;0;0;0;0;1;08-06-2014;0;365
XY-MBJ;0;1;1;12;0;10-02-2010;0;1504
XY-LYP;3;1;1;34;1;08-06-2011;0;22
XY-MBJ;0;0;0;0;2;10-02-2013;26;0
XY-YAZ;3;1;1;25;1;23-02-2016;0;22
XY-YAZ;0;0;0;0;2;23-02-2012;0;1
XY-YAZ;2;1;1;47;0;23-02-2011;0;0
XY-YAZ;0;0;0;0;1;23-02-2013;0;1506
XY-ZDY;2;2;2;34;1;28-12-2012;33;0
XY-ZDY;3;1;1;21;1;28-12-2013;48;0
XY-ZDY;1;1;1;16;0;28-12-2011;24;0
XY-ZDY;1;1;1;30;0;28-12-2015;24;0
XY-OHF;0;2;0;0;0;01-07-2015;0;2572
XY-OHF;1;1;1;36;0;01-07-2012;0;0
XY-OHF;0;0;0;0;1;01-07-2014;16;0
XY-FBA;2;1;1;12;0;31-07-2011;156;0
XY-FBA;1;1;1;8;1;31-07-2010;48;0
XY-FBA;2;1;1;17;0;31-07-2013;24;0
XY-LYP;5;2;1;22;0;19-02-2013;48;0
XY-CMJ;3;1;1;32;0;21-03-2010;24;0
XY-FBA;0;0;0;0;1;31-07-2015;24;0
XY-FBA;0;1;1;48;0;31-07-2014;0;11
